Time_ms,Delta_Displacement_nm
664.000,-949.487
665.000,-949.487
666.000,-949.487
667.000,-949.487
668.000,-949.487
669.000,-949.487
670.000,-1265.983
671.000,-949.487
672.000,-949.487
673.000,-949.487
674.000,-949.487
675.000,-949.487
676.000,-949.487
677.000,-949.487
678.000,-632.991
679.000,-632.991
680.000,-632.991
681.000,-632.991
682.000,-316.496
683.000,-316.496
684.000,-316.496
685.000,-316.496
686.000,-316.496
687.000,0.000
688.000,0.000
689.000,316.496
690.000,316.496
691.000,316.496
692.000,316.496
693.000,316.496
694.000,316.496
695.000,316.496
696.000,316.496
697.000,316.496
698.000,316.496
699.000,316.496
700.000,632.991
701.000,632.991
702.000,632.991
703.000,632.991
704.000,632.991
705.000,632.991
706.000,632.991
707.000,632.991
708.000,632.991
709.000,316.496
710.000,316.496
711.000,316.496
712.000,316.496
713.000,316.496
714.000,316.496
715.000,0.000
716.000,0.000
717.000,0.000
718.000,0.000
719.000,-316.496
720.000,-316.496
721.000,-316.496
722.000,-316.496
723.000,-316.496
724.000,-632.991
725.000,-632.991
726.000,-632.991
727.000,-632.991
728.000,-632.991
729.000,-632.991
730.000,-632.991
731.000,-632.991
732.000,-632.991
733.000,-316.496
734.000,-316.496
735.000,-316.496
736.000,-316.496
737.000,-316.496
738.000,-316.496
739.000,0.000
740.000,0.000
741.000,0.000
742.000,316.496
743.000,316.496
744.000,316.496
745.000,316.496
746.000,316.496
747.000,632.991
748.000,632.991
749.000,632.991
750.000,632.991
751.000,632.991
752.000,632.991
753.000,632.991
754.000,632.991
755.000,632.991
756.000,632.991
757.000,632.991
758.000,632.991
759.000,316.496
760.000,316.496
761.000,316.496
762.000,316.496
763.000,0.000
764.000,0.000
765.000,0.000
766.000,0.000
767.000,-316.496
768.000,-316.496
769.000,-632.991
770.000,-632.991
771.000,-949.487
772.000,-949.487
773.000,-1265.983
774.000,-1265.983
775.000,-1265.983
776.000,-1582.478
777.000,-1582.478
778.000,-1898.974
779.000,-1898.974
780.000,-1898.974
781.000,-1898.974
782.000,-1898.974
783.000,-1898.974
784.000,-1898.974
785.000,-1898.974
786.000,-1582.478
787.000,-1582.478
788.000,-1582.478
789.000,-1265.983
790.000,-1265.983
791.000,-1265.983
792.000,-1265.983
793.000,-949.487
794.000,-949.487
795.000,-949.487
796.000,-632.991
797.000,-632.991
798.000,-632.991
799.000,-316.496
800.000,-316.496
801.000,-316.496
802.000,-316.496
803.000,0.000
804.000,0.000
805.000,0.000
806.000,0.000
807.000,0.000
808.000,316.496
809.000,316.496
810.000,316.496
811.000,0.000
812.000,0.000
813.000,0.000
814.000,0.000
815.000,0.000
816.000,0.000
817.000,-316.496
818.000,-316.496
819.000,-316.496
820.000,-316.496
821.000,-632.991
822.000,-632.991
823.000,-632.991
824.000,-949.487
825.000,-949.487
826.000,-949.487
827.000,-949.487
828.000,-1265.983
829.000,-1265.983
830.000,-1265.983
831.000,-1265.983
832.000,-1265.983
833.000,-1265.983
834.000,-1582.478
835.000,-1582.478
836.000,-1582.478
837.000,-1582.478
838.000,-1582.478
839.000,-1582.478
840.000,-1582.478
841.000,-1265.983
842.000,-1265.983
843.000,-1265.983
844.000,-1265.983
845.000,-1265.983
846.000,-949.487
847.000,-949.487
848.000,-632.991
849.000,-632.991
850.000,-632.991
851.000,-632.991
852.000,-316.496
853.000,-316.496
854.000,0.000
855.000,0.000
856.000,0.000
857.000,316.496
858.000,316.496
859.000,316.496
860.000,316.496
861.000,632.991
862.000,632.991
863.000,316.496
864.000,632.991
865.000,632.991
866.000,316.496
867.000,316.496
868.000,316.496
869.000,316.496
870.000,316.496
871.000,0.000
872.000,0.000
873.000,-316.496
874.000,-316.496
875.000,-632.991
876.000,-632.991
877.000,-949.487
878.000,-949.487
879.000,-1265.983
880.000,-1265.983
881.000,-1582.478
882.000,-1582.478
883.000,-1582.478
884.000,-1582.478
885.000,-1898.974
886.000,-1898.974
887.000,-1898.974
888.000,-1898.974
889.000,-1898.974
890.000,-1898.974
891.000,-1898.974
892.000,-1898.974
893.000,-1898.974
894.000,-1898.974
895.000,-1898.974
896.000,-1582.478
897.000,-1582.478
898.000,-1582.478
899.000,-1265.983
900.000,-1265.983
901.000,-949.487
902.000,-949.487
903.000,-949.487
904.000,-632.991
905.000,-316.496
906.000,-316.496
907.000,-316.496
908.000,0.000
909.000,0.000
910.000,0.000
911.000,0.000
912.000,316.496
913.000,316.496
914.000,316.496
915.000,316.496
916.000,316.496
917.000,0.000
918.000,0.000
919.000,0.000
920.000,0.000
921.000,0.000
922.000,-316.496
923.000,-316.496
924.000,-632.991
925.000,-949.487
926.000,-949.487
927.000,-949.487
928.000,-1265.983
929.000,-1265.983
930.000,-1582.478
931.000,-1582.478
932.000,-1898.974
933.000,-1898.974
934.000,-1898.974
935.000,-1898.974
936.000,-1898.974
937.000,-1898.974
938.000,-1898.974
939.000,-1898.974
940.000,-1898.974
941.000,-1898.974
942.000,-1898.974
943.000,-1582.478
944.000,-1582.478
945.000,-1582.478
946.000,-1265.983
947.000,-1265.983
948.000,-949.487
949.000,-949.487
950.000,-949.487
951.000,-949.487
952.000,-632.991
953.000,-632.991
954.000,-632.991
955.000,-316.496
956.000,-316.496
957.000,-316.496
958.000,-316.496
959.000,0.000
960.000,0.000
961.000,0.000
962.000,316.496
963.000,316.496
964.000,316.496
965.000,316.496
966.000,316.496
967.000,316.496
968.000,316.496
969.000,316.496
970.000,316.496
971.000,316.496
972.000,0.000
973.000,0.000
974.000,0.000
975.000,0.000
976.000,0.000
977.000,-316.496
978.000,-316.496
979.000,-316.496
980.000,-632.991
981.000,-632.991
982.000,-632.991
983.000,-632.991
984.000,-949.487
985.000,-949.487
986.000,-949.487
987.000,-949.487
988.000,-949.487
989.000,-1265.983
990.000,-1265.983
991.000,-1265.983
992.000,-1265.983
993.000,-1265.983
994.000,-1265.983
995.000,-1582.478
996.000,-1582.478
997.000,-1582.478
998.000,-1265.983
999.000,-1265.983
1000.000,-1265.983
1001.000,-1582.478
1002.000,-1265.983
1003.000,-1265.983
1004.000,-1265.983
1005.000,-949.487
1006.000,-949.487
1007.000,-949.487
1008.000,-949.487
1009.000,-949.487
1010.000,-632.991
1011.000,-632.991
1012.000,-632.991
1013.000,-316.496
1014.000,-316.496
1015.000,-316.496
1016.000,-316.496
1017.000,-316.496
1018.000,-316.496
1019.000,0.000
1020.000,0.000
1021.000,316.496
1022.000,0.000
1023.000,0.000
1024.000,0.000
1025.000,0.000
1026.000,0.000
1027.000,-316.496
1028.000,-316.496
1029.000,-316.496
1030.000,-632.991
1031.000,-632.991
1032.000,-632.991
1033.000,-949.487
1034.000,-949.487
1035.000,-949.487
1036.000,-949.487
1037.000,-1265.983
1038.000,-1265.983
1039.000,-1265.983
1040.000,-1582.478
1041.000,-1582.478
1042.000,-1582.478
1043.000,-1582.478
1044.000,-1582.478
1045.000,-1898.974
1046.000,-1898.974
1047.000,-1582.478
1048.000,-1582.478
1049.000,-1582.478
1050.000,-1582.478
1051.000,-1582.478
1052.000,-1582.478
1053.000,-1582.478
1054.000,-1582.478
1055.000,-1265.983
1056.000,-1265.983
1057.000,-1265.983
1058.000,-1265.983
1059.000,-1265.983
1060.000,-1265.983
1061.000,-949.487
1062.000,-949.487
1063.000,-949.487
1064.000,-632.991
1065.000,-632.991
1066.000,-632.991
1067.000,-632.991
1068.000,-632.991
1069.000,-316.496
1070.000,-316.496
1071.000,-316.496
1072.000,-316.496
1073.000,0.000
1074.000,-316.496
1075.000,-316.496
1076.000,-316.496
1077.000,-316.496
1078.000,-316.496
1079.000,-316.496
1080.000,-316.496
1081.000,-316.496
1082.000,-632.991
1083.000,-632.991
1084.000,-632.991
1085.000,-949.487
1086.000,-949.487
1087.000,-949.487
1088.000,-949.487
1089.000,-1265.983
1090.000,-1265.983
